Name of Company,Type of Industry,Company Address
Center for International Trade Expositions and Missions,Advertising/Design/Marketing,"Golden Shell Pavilion, Roxas Blvd. corner Sen. Gil Puyat Avenue, Pasay City, Metro Manila 1300 Philippines"
Center For International Trade Expositions and Missions (CITEM),Advertising/Design/Marketing,"Golden Shell Pavillion, Roxas Blvd Cor, 1300 Sen. Gil Puyat Ave. Pasay"
Centrix Construction Supplies Trading,Construction & Supplies,"B7 L27, Yakal St., Greenfields 1, Novaliches, Quezon City"
"CentrIX Information Systems, Inc.",,"Unit 1203, 12/F One San Miguel Avenue Building, San Miguel Avenue cor. Shaw Boulevard, Ortigas Center, Pasig City, Philippines"
CFC ANCOP Global Foundation,Non-Government Organization,"Penthouse 1, One Corporate Center, Meralco Ave cor. Julia Vargas Ave, Ortigas, Pasig, Philippines"
CGI Philippines Inc,Software & Computer Services,"2F One World Square, Upper McKinley, Taguig"
Champion Fine Tooling Corporation,"Automobiles & Parts, Technology Hardware & Equipment","58 Mulawinan Street, Arty III Subdivision, Lawang Bato, Valenzuela City"
"Channel Technologies, Inc. (Channel Group of Companies)",Maintenance Services and Banking Equipment .,"Channel Group Building, No. 55 Don Jesus Boulevard, Alabang Hills Village, Muntinlupa City, Philippines"
Chase Technologies Corporation *,Automatic data collection and business management solutions.,"5268 Diesel Street, Palanan, Makati City, Philippines"
Chebas Builders,,"Lower GF Beacon Plaza Building, Shaw Boulevard, Mandaluyong City, Philippines"
"Checkpoint Systems (Napar Contracting and Allied Services, Inc.)",IT Services,"Unit 1105 East Tower, Philippines Stock Exchange Center, Exchnage Road, Ortigas Center, Pasig City, Philippines"
CheQ Systems Inc.,Software and Computer Services,"17th Floor, 88 Corporate Center, 141 Sedeño St., Salcedo Village,, Makati"
"Chevron Holdings, Inc.",Support Services/Oil & Gas,"35/F Yuchengco Tower, RCBC Plaza 6819 Ayala Corner Gil Puyat Ave. Makati City, Philippines 1200"
"Chevron Philippines, Inc.",Oil and Energy Company,"6th Floor, 6750 Bilding, Ayala Avenue, Makati City "
CHG GLOBAL INC.,Food & Drug Retailers / General / Retail ,19 V. MAPA ST. CALOOCAN CITY
Chic Centre Corporation,Manufacturer & Marketer Of Cosmetic Prods,"137 CFC Commercial Building, Pasig Boulevard, Pasig City, Philippines 1600"
Children's Environmental Awareness And Action Foundation,Non-Government Organization/And Action Foundation,"21B Apostol Street, San Lorenzo Village, Makati City, Philippines"
China Banking Corporation,NO IP/NO OTHER DOCUMENTS,
Choryo Tooling System,,"70 Sta. Rosa Tagaytay Road, Brgy. Putting Kahoy, Silang, Cavite, Philippines"
"Chronos (Chronos Maritime Services, Co.)",Recruitment Company,"GF Unit 1-E, Manere Building I, 18 Matahimik Street cor. V. Luna Road, Diliman, Quezon City, Philippines 1101"
Church of God World Missions,Religious Institution,"4268 E. Aguinaldo Highway, Panapaan 4, Bacoor City, Cavite"
"CIBI INFORMATION, INC.",,
CIM Technologies Inc. (Stanford IT Learning) *,Software and Computer Services,"Unit 704 SEDCCO I Building, 120 Rada Street, Legaspi Village, Makati City, 1229 Philippines"
"Circuit Solutions, Inc. *",Consulting and Technology Solutions,"14-B Belvedere Tower, 15 San Miguel Avenue, Ortigas Center, Pasig City, Philippines"
"Citibank, N. A. ",Financial Institution,"Citibank Square 1 Eastwood Avenue, Eastwood City, Brgy. Bagumbayan, Quezon City, Philippines"
City Engineering Department City Government of Malabon,Local Government,"10th Floor Malabon City Hall, F.Sevilla Boulevard Malabon City"
City Engineering's Office,Government/ Public Service,"3/F Finance Bldg. City Gov't of Valenzuela, McArth Highway, Karuhatan, Valenzuela City"
City government of Paranaque,Education/Training/Electronic & Electrical Equipment,"Paranaque city Hall, BRGY San ANtonio Valley 1, Paranaque City"
Civicom,Business Process Outsourcing,"7A Unioil Center 1222 Acacia Ave. Alabang, Muntinlupa"
Civil Aviation Authority of the Philippines (CAAP),Civil Aviation Regulation,Old M/A Rd. Pasay City
Clearsight Corporation (Alcatel OneTouch) *,Telco & Marketing,"305B ALLCO Building, Ortigas Avenue, Greenhills, San Juan City, Philippines 1502"
Cleon & Clyde,Personal and Household Goods,"9 Calla Lilly Ext., Mely / Dominic 1 Subd, Brgy Bahay Toro, Quezon City 1116, Philippines"
Cloudcompass Technologies Inc.,IT Consultancy,"Unit 2608H Goldland Millenia Suites Tower, Excriva Drive, Brgy. San Antonio, Ortigas, Pasig City"
"Cloudsherpas, Inc.",Cloud Computing Services,"30/F PhilAm Life Tower, 8767 Paseo de Roxas, Makati City, Philippines"
Coastline Lighterage Corporation,Shipping/Ligterage,"1357 Romualdez Street, Paco, Manila, Philippines"
Cobra iTech Services Corporation *,IT Services,"Jade Place, Suite 402, 33 Visayas Avenue, Quezon City, Philippines 1100"
Coca-Cola Battlers Business Services Inc.,BPO,"30F Cyberone Bldg. Eastwood Bagumbayan Libis, Quezon City"
"Coca-Cola Bottlers Philippines, Inc.",Manufacturing/Food and Beverage .,"4/F King's Court Building II, Pasong Tamo, Makati City, Philippines"
Cocolife (United Coconut Planters Life Assurance Corporation) *,Life Insurance Company,"COCOLIFE Building, 6807 (6774) Ayala Avenue, Makati City, Philippines"
Codeninja IT Solutions *,IT/Web Development,"4th Flr Vignet Bldg. Blk. 13, Lot 17, E Rodriguez Jr. Ave. Bagumbayan Q.C"
Coffral Access & Shoring Inc.,Construction & Materials,"Unit 2701 Summit One Tower, #530 Shaw Blvd., Mandaluyong City"
"Collabera Technologies Private Limited, Inc.",IT Solutions & Services Provider,"40/F Rufino Pacific Tower, 6784 Ayala Avenue, Makati City, Philippines, Inc."
Collave Inc.  *,Software and Computer Services,29 A Baler St. cor Francisco Del Monte Quezon City
Collave Technologies OPC,Software and Computer Services,"3F Main Building, BENLOR I.T. Center, 1184 Quezon Avenue, Quezon City, Philippines"
"Colliers International Philippines, Inc.",Real State Services,"11/F Frabelle Business Center, 111  Rada Street Legaspi Village, Makati City, Philippines 1229"
Cooee Inc,"Business Process Outsourcing Oil & Gas
Chemicals","115 C, 4F Glass Tower, Don Carlos Palanca, Makati, 1200 Metro Manila"
"Columbia Technologies, Inc. *",Technology Hardware & Equipment,"1136-1146 J. Nakpil Street, Malate II, Manila, Philippines"
Columns and Arc Builders,Construction & Materials,"U-608 Balagtas Royale Mansion, Balagtas St. Brgy. 015 Pasay City"
Comfac Corporation,,"19th Floor The World Trade Centre, 330 Sen. Gil Puyat Ave. Makati City"
Commision On Audit,Goverment Office,"Commonwealth Avenue, Quezon City"
Commverge Solutions Philippines Inc.,Technical Support Services,"15f Bdo Equitable Tower 8751 Paseo De Roxas, Makati City"
Comprehensive Engineering Solution *,"service engineering, product design, and analysis firm","Lot 10 Block 89, Amarillo, Brgy. Rizal, Makati City"
Computechnologies Corporation,,"3308 Robinsons Equitable Tower, ADB Avenue, Ortigas, Pasig City, Philippines"
Concentrix Services Corporation (Synnex),BPO,"G/F E-Commerce Plaza Building, Eastwood City, Cyberpark, Libis, Quezon City, Philippines"
Concipio Tektura,"Construction and Materials/Design,Marketing,Advertising","Tower 1 – The Linear Makati, Makati City, Philippines"
Conex Consolidated Explosives Group Corporation,,"4/F ECA Building, Maharlika Street cor. Sikap Street, Brgy. Plainview, Mandaluyong City, NCR - Second District"
Container Corporation of the Philippines,Port Operator,"60 Old Samson Road, Balintawak, Quezon City, Philippines"
Continuum Technology Corporation,,"82D E. Rodgriguez Sr. Avenue, Doña Aurora, Quezon City, Philippines"
Convergys Philippines Services Corporation,BPO .,"6769 Ayala Ave. cor Salcedo St. Legaspi Village, Makati City"
"Convey Health Solutions - Philippines, Inc.",Hospital & HealthCare,"18/F  Robinsons Cybergate 3, Pioneer Street, Boni Avenue, Mandaluyong City, Philippines"
Corinthian IT Solutions (Red Core),IT/BPO,"Unit 603 Globe Telecom Plaza Tower II, Pioneer Street cor. Madison Street, Mandaluyong City, Philippines 1552"
Cormant Technologies,Software Solutions,"10/F Net One Center, 3rd Avenue, Bonifacio Global City, Taguig, Philippines 1634"
"CORPORATE TECHNOLOGIES, INC.",IT INDUSTRY,"7th Floor Vector One Building, Northgate Cyberzone, Northgate Ave, Alabang, Muntinlupa, Metro Manila"
Cosaint Consulting,Management Consulting,"2f Estancia Mall, Capitol Commons Meralco Ave, Pasig"
"Cosmic Technologies, Inc. (Cherry Mobile) *",Telecommunications,1360 Leon Guinto St. Ermita Manila
Crazy Monkeys,Advertising Agency,"Unit 1701 Antel Corporate Centre, Valero St. Salcedo Village, Makati City"
Create PH Website Design Studio,App Design and Development/Online Advertising,"3 San Rafael Street, Brgy. Kapitlyo, Pasig City, Philippines"
Creedom Technologies PH.,Software & Computer Services,"Wynsum Corporate Plaza, Ortigas Center Pasig City"
CRMM Enterprise,Retail industry/Financial Services,"N0. 51 Orchids Street, Greenpark Village, Cainta, Rizal, Philippines"
Crowne Plaza Hotel/ Holiday Inn Manila Galleria,,"1100 Ortigas Ave, Ortigas Center Quezon City"
"CTI Products, Inc. (USA)",Recruitment Company,"1211 West Sharon Road, Cincinnati, Ohio, 45240 USA"
"CTSI Logistics, Inc. *",Corporate Support/Regional Head Quarter,"5/F Times Plaza, United Nations cor. Taft Avenue, Manila, Philippines 1000 "
Cubizone Philippines Inc.,Software and Computer Services/mobile App Gaming,Unit 305 lvl 3 Silver City Ortigas East. Brgy. Ugong Pasig city
Cup Outsourcing Solutions,BPO,"Unit 3 & 4 4/F Milan Prestige Building, Brgy. Halang, Calamba City, Laguna"
"Curo Teknika, Inc.",IT Support Operations Services,"3/F L. V. Locsin Building, 6752 Ayala cor. Makati Avenue, Makati City, Philippines 1200"
Cutting Edge Productions *,"A/V, TV&FILM/Production Companies","7/F Ricogen (PNB Building) Building 112, Aguirre Street, Legaspi Village, Makati City, Philippines 1229"
CW Home Depot,NO OTHER DOCUMENTS,"#1 Doña Julia Vargas Ave., Cor. Meralco Ave., Ortigas, Ugong, Pasig City, Metro Manila"
"Cybersoft Content Services, Inc. *",BPO,"7/F Pacific Corporate Center, 131 West Avenue, Quezon City, Philippines"
Cybersysdotnet Computer System,Software and Computer Services,"6 MT. Cresta st. Sta Monica, Novaliches"
D. Adriano Interior Design Services,Interior Design Services,32 Dona Aurora St. Tanza Navotas City
D.A.Q Nicolas & Associates,Construction & Materials/Project Management,"118 Cheer St., Annex 1618, Better Living Subdivision, Brgy Don Bosco Paranaque City"
"D.M. Consunji, Inc.",,"1321 Apolinario St., Bangkal, Makati City "
"D&L Industries, Inc. ",Support Services/ Manufacturing Company,"No. 65 Industria Street, Bagumbayan, Quezon City, Philippines 1110"
Dai-ichi Electronics Manufacturing Corporation,N/A,"160 F. Mariano Avenue, Brgy. Dela Paz, Pasig City, Philippines 1610"
Daikin Airconditioning Phils. Inc,Airconditioning Company & Services,"18/f Exxa Tower Bridgetowne, C5 Road Brgy.  Ugong Norte, Quezon City"
"DAIRY FARM COMPANY LIMITED, ROHQ",Software & Computer Services / Support,"9/F Robinsons Cyberscape Beta, Topaz and Ruby Road, Ortigas Center. Pasig City, Metro Manila, Philippines 1605"
Dante's Diesel calibration Center,Automobile & Parts,271 A. Bonifacio Ave. San Jose Quezon City
Darghie's Farm Staycation & HomeStay,Hotel / Resort / Restaurant,"Lambingan Road, Brgy San Guillermo Morong Rizal"
Dashboard Analytics Technologies and Software Systems Inc.,Services / Pharmaceuticals & Biotechnology,"Level 37, LKG Tower, 6801 Ayala Avenue, Makati City 1226, NCR, Philippines"
Data Science and Technology Corporation (Genetic Computer Institute),Software & Computer Services,295 lot 7 greeniew compound cor boni serrano ave brgy bagong lipunan ng krame qc
"Datacraft Philippines, Inc.",Software & Computer Services/Support Services,"2/f Philamlife Bldg. 126 LP Leviste st. Salcedo Village, Makati City"
Davies Technical Solution Inc.,Specialty Contracting,"12/F Belvedere Tower. San Miguel Ave, Ortigas Center, Pasig City"
"Davis Langdon & Seah Philippines, Inc.",Quantity Surveying Consultant,"4/F Kings Court1 Pasong Tamo, Makati city"
DBSOFT Phils. Inc.,Software Developer,"15/F Rm. 1501 East Tower, Phil. Stock Exchange Centre Ortigas, Pasig City"
Datem Construction *,Construction & Materials,"Datem Building, 99 Mindanao Avenue, Quezon City, Philippines 1106"
"DDT Konstruct, Inc.",Construction & Materials,"Unit 401 4/F Lancaster Hotel, No. 622 Shaw Boulevard, Mandaluyong City, Philippines 1500"
DE Construction & Development Corp.,General Contractor,No.1 Pulsar St. Village East Subd. Cainta Rizal
Definite Studios,Animation Studio,"PRODUCTION HOUSE 5th floor, The Ignacia Place 62 Sgt. Esguerra Ave. Diliman, Quezon City, Philippines  1104"
"Del Una Technoserve, Inc.",General Industries/Electronic & Electrical Equipment,"7 Dove St. Marville Park 1 Sub. Brgy. San Roque, Antipolo, Rizal"
Deltek Systems (Philippines) Ltd. ,IT Consulting,"6/F Tower 1, The Enterprise Center 6766, Ayala Avenue cor. Paseo De Roxas, Makati City, Philippines 1226"
Denzo Ten Solutions Phil. Corp.,Software & Computer Services,"25th Floor Hanston Square Bldg., No. 17, San Miguel Ave. ortigas Center, Pasig City 1605"
Department of Agrarian Reform, Goverment Agency/ Management Information System Service (MISS),"Elliptical Road, Diliman, Quezon City"
Department of Energy *,N/A,"4/F Energy Center, Merit Road, Fort Bonifacio, Taguig City, Philippines"
Department of Public Works and Highways *,,"4 Road Bagumbayan North, Navotas City"
Department Of Science & Tech.(DOST),Information and Communication Technologies,"Asti Bldg. C.P Garcia Ave, UP Diliman Quezon city"
Department Of Science & Tech- Science Education Institute (DOST-SEI),Government,"1st and 2nd Levels, Science Heritage Bldg., DOST-Compound, General Santos Avenue, Bicutan, Taguig City "
Department of Tourism *,Travel Agencies/Tourism Services,"New DOT Building, Sen Gil Puyat Ave. cor Makati City"
Designblue Philippines Inc. ,Advertising / Design / Marketing,"7/F U7B Adamson Center, 121 LP. Leviste St. Salcedo Village Makati City"
"DYD REF. SYSTEMS, INC / DN STEEL GROUP OF COMPANIES",Manufacturing,"DN Corporate Center, 1388 Quezon Ave. Brgy. South Triangle, Quezon City"
"Desserts Plus, Inc.",Food Services,palmera building kalayaan ave cor edsa brgy pinagkaisahan makati city
Dex International co.,Electronic and Eletrical Engineering,1 Kalantiaw st. cor JP. Rizal st. Proj. 4 Cubao QC
Dice 205,Software & Computer Services,"Unit B1 Aabrogena Bldg., 734 Ballesteros cor. I Lopez St., Brgy. New Zaniga, Mandaluyong City"
Diegiens Academy BV ,,
"Digileaf, Inc.",Education/Training,"03-03A Mckinley Park Residence, Bonifacio Global City Fort Bonifacio, Taguig City"
"Digital Dodge, Inc. *",Post Production,"147 Mother Ignacia Street, South Triangle, Quezon City, Philipines"
Digital Hybrid Transport System Inc.,"Advertising, Design, Marketing / Transportation","Unit  403 FORC Building, N. Domingo cor. F Roman st. San Juan City"
Digital Rooms Inc. Philippines,E-Commerce/Software and Computer Services,"Unit 1110, Paragon Plaza, Edsa corner Reliance St. Mandaluyong City"
"Digitel Mobile Philippines, Inc. (Sun Cellular)",Telecoms,"26/F Galleria Corporate Center, EDSA cor. Ortigas Avenue, Quezon City, Philippines"
"Dimension Data Philippines, Inc.",IT/Networking,"2/f Philamlife Bldg. 126 LP Leviste st. Salcedo Village, Makati City"
Discovery Suites ,,"25 ADB Avenue, Ortigas Center, Pasig City, Philippines"
Diverse IT Innovations Inc. ,Software and Computer Services,"Unit 201, 2/F Francesca Tower Bldg., Sct. Borromeo St. Brgy. South Triangle, GMA Kamuning, QC"
Diversified Technology Systems Inc. ,Software and Computer Services,"12th Flr. Zuellig Bldg. Makati Ave. cor. Paseo de Roxas, Makati City"
"Diversify Intelligent Staffing Solutions, Inc.",BPO,"11/F Robinsons Summit Center, 6783, Ayala Avenue, Makati Central Business District, Makati City, Philippines 1226"
DMCI Homes Corporate Center,Real State,"DMCI Homes Corporate Center, 1321 Apolinario Street, Bangkal, Makati City, Philippines"
"Dominic Construction , Inc.",Construction and Materials,"229-A Basilan Street cor. Talayan Street, Mandaluyong City, Philippines"
Don Henrico's Pizza Foods Corp.,Food Services,"Unit 901 Manila Luxury Condominium, Ortigas, Pasig City, Philippines"
DOST-Information & Communications Technology Office (DOST-ICTO),Telecommunication,"ICTO Building, Carlos P. Garcia Avenue, UP Diliman, Quezon City, Philippines 1101"
"Dow Chemical Philippines, Inc.",Manufacturing,"J. Aguilar Ave. (CAA ROAD) Pamplona, Las Pinas City"
DPWH,Government Construction/Maintenance,"Brgy.Isabang, Lucena City"
DPWH - Bulacan,Government Construction,"Pulong Buhangin, Sta. Maria ,Bulacan"
DPWH CENTRAL,Government Construction,Bonifacio Drive Port Area Manila
DPWH - UPMO,Construction Materials,"DPWH- NCR Compound, 2nd St., Port Area, Manila"
DPWH- Nueva Ecija 2nd District Engineering Office,Construction and Materials,"San Isidro, Cabanatuan City"
DPWH – Mindoro Oriental District Engineering Office,Construction Materials,"Brgy. Masipit, Calapan City, Oriental Mindoro"
DPWH Manila 1st District Engineering Office,Construction and Materials,"Metro Manila I District Engineering , West Bank Road Manggahan Floodway, Rosario Pasig City"
DPWH QC 1st District Engineering Office,Government Agency (Public Works),Sta. Catalina St. Brgy. Holy Spirit Quezon City
DPWH QC 2nd District Engineering Office,Government Agency (Public Works),"790 Edsa, Diliman, Quezon City"
DPWH- Bataan District 2,Construction Materials,"Vicarville Subdivision, Bagong Silang, Balanga City Bataan"
Dr. Jose N. Rodriguez Memorial Hospital and Sanitarium,Healthcare Facility/ Government Agency,St. Joseph Avenue Tala Caloocan City 
Dragon Estate Development Corporation,Real State,"3rd floor LRT Northmall, Caloocan City / unt 302 pacific century tower quezon ave qc"
Dreamlords Digital,Software and Computer Services,"Unit 8C One Burgandy Plaza Building, Katipunan, Quezon City, Philippines"
Dunamis Power Generators,,"669 Quezon Ave., Brgy. Sto. Domingo, Quezon City 1114"
"Dwightsteel Building Systems, Inc.",Steel Manufacturing Company,"7/F Annapolis Wilshire Plaza, 11 Annapolis Street, Greenhills, San Juan City, Philippines"
Dynamic Technology Lab Private Limited,Banks/Insurance/Financial Services,"04-01B, 2 Alexandra Road, Singapore 159919"
EEF Enterprises,Construction & Materials,#1 N Data Street Paso De Blas Valenzuela City
E & V Electrical Inc.,,"2/F 200 Timbol Building, 915 Albany Street cor. Aurora Avenue, Brgy. Silangan, Quezon City, Philippines"
"e-Business Services, Inc.",Recruiting Services,"Unit 2005 A&B, East Tower, PSE Centre, Exchange Road, Ortigas Center, Pasig City, Philippines"
"E. M. Cuerpo, Inc.",,"No. 3 E. M. Cuerpo, Inc. Building, Metropoli Drive, Metropoli Residenza, Bagumbayan, Quezon City, Philippines"
"E.M Cuerpo, Inc.",Design and Construction Company,"3 Metropoli Drive, Metropoli Residenza, Bagumbayan, Quezon City"
Eagle Broadcasting Corporation (EBC) *,Broadcasting Televesion and Radio Network,"No. 25 Central Avenue, Diliman, Quezon City"
Eagle Electric of the Philippines,,
East Point Armanents Trading,Guns Ammunition,"1058 Sta. Monica, Quirino H-way Novaliches, Quezon City"
"East West International Educational Specialist, Inc.",Education/Training,"Unit 2608 Antel Global Corporate Center Julia Vargas Ave. Ortigas, Pasig City"
"Eastern Telecommunications Philippines, Inc. (Eastern Communications) ",,"Telecom Plaza, 316 Sen. Gil J. Puyat Avenue, Salcedo Village, Makati City, Philippines 1200"
EBCruz and Partners,Engineering Services,"1335 A. Mabini Street, Caloocan City, Philippines"
ECC International  Corp.,Automation Services/Outsourcing Services,"5F A&V Crystal Tower, 105 Esteban st. Legaspi Village, Makati City"
"Eco Triangle Microsystems Company, Inc.",Traiding,"GF TPA 7489 Bagtikan Street, San Antonio Village, Makati City, Philippines 1200"
Ecolab Philippines,Chemicals,"Lower Penthouse, CTP Asean Tower, Asean Drive, Spectrum Dist. Filinvest City Alabang, Muntinlupa City"
"Economic Development Foundation, Inc.",Manufacturing,"Unit 512 5/F H.V. Dela Costa Street, Salcedo Village, Makati City, Philippines"
EcoSci Food Inc.,Food & Beverage,"OTTO Shoe Factory, 232 Sumulong Hwy, Brgy. Mambugan, Antipolo, 1870 Rizal"
Edge Interlinks Corporation,Retail Company,"280 F Blumentritt Street, Batis, San Juan City, Philippines"
Edukasyon.PH,Education/Training,"Unit 5K, 100 C. Palanca Street, Legaspi Village, Makati City, Metro Manila, Philippines 1229"
Edusuite,Software & Computer Services,"Unit 803 Park Trade Center Investment Drive Alabang, Muntinlupa Philippines 1780"
EEI Corporation *,Engineering and Construction,"12 Manggahan St., Bagumbayan, Quezon City 1110, Philippines"
"EFGPR HD Agency, Inc.",Advertising Agencies,"Unit 402 L.V. Locsin Building, 6752 Ayala Avenue cor. Makati Avenue, Makati City, Philippines"
eFotoExpress,Software and Computer Services,"Unit 425 Chateau Verde, Valle Verde 1, Gate 2 C5, Brgy. Ugong, Pasig City, Philippines"
EINS Review and Statistical Consultancy Center,,"#1 Ph 2, Mother Rita Homes, Look 1st, Malolos City"
"EJAP Konstruct, Inc.",Construction and Materials,"L2 B6 Nuestra Señora Dela Paz Subdivision, Brgy. Sta. Cruz, Antipolo City, Philippines"
"Elabram Systems, Inc.",Telecommunication Engineering and IT service,"Unit 1602 Antel Corporate Center, 121 Valero Street, Salcedo Village, Makati City, Philippines"
Elearning Edge,E. Learning/Training,"213 Pldt CTC Ateneo De Manila University, Katipunan Ave, Loyola Heights. Quezon City"
Electrical Balancer *,Electrical Contracting,"Lot 5, Block 213, Yuan Street, Phase 8, North Fairview, Quezon City, Philippines"
"Electrobus Consolidated, Inc.",,"102 Panay Avenue, Quezon City, NCR - Second District 1103"
Elev8 Corporate Services,Support Services,"6th Flr Vernida IV Bldg., 128 LP Leviste St., Salcedo Vill., Makati City"
"Elevated Play Philippines, Inc.",Software and Computer Services,"Unit D 14F Trafalgar Plaza 105 H.V Dela Costa st. Salcedo Village, Makati City"
Eliseo A Fernandez and Co.CPAs,Auditing/Accounting,"Unit 1604, Antel Global Corporate Center, Juia Vargas Ave., Ortigas Center, Pasig City"
Ellenaire Electro Mechanical Corporation *,Electro-Mechanical Services,"Block 5 Lot 4 Melar Subdivision, Brgy. Dolores, Taytay, Rizal, Philippines"
"ELS Consultancy & Management, Inc. *",Construction Design and Management,"Rm. 404 Corporate 101 Building, Mother Ignacia Avenue cor. Scout Madriñan, Quezon City, Philippines"
Emerge Local Inc.,Advertising / Design / Marketing,"Blk 58 Lot 30, San Timoteo St., Fiesta Communities
Subdivision, Brgy. Tabun, Angeles City, Pampanga, Philippines"
Emerge Web Development Services,Software and Computer Services,623 San Francisco St. Manuyo Uno Las Pinas City 1744
"Emerson / Fisher-Rosemount Systems, Inc.",,"32/F One San Miguel Ave. Bldg. San Miguel Ave. cor. Shaw Blvd. Ortigas Center, Pasig City"
Emerson Corporate Group (Vertiv),,"34/F Union Bank Plaza, Meralco Avenue cor. Onyx Road, Ortigas Center, Pasig City, Philippines"
Emerson Electric Asia Ltd. (ROHQ),Power Supplies/Electronics,"12/F SM Cyber West, EDSA cor. West Avenue, Quezon City, Philippines 1105"
Emerson Process Management,,"19/F Cyberscape Alpha Building, Sappgire Road & Gamet Road, Ortigas Center, Pasig City, Philippines"
Energy Regulatory Commission,Electric Power Industry,"18/F Pacific Center Building, San Miguel Avenue, Ortigas Center, Pasig City, Philippines 1600"
Entertainment Gateway Group Corporation (EGG),Technology Outsourcing,"3/F Bloomingdale Building, 205 Salcedo Street, Legaspi Village, Makati City, Philippines"
Environmental Compliance Consultant Int'l Corporation *,,"Level 5, A&V Crystal Tower, 105 Esteban Street, Legaspi Village, Makati City, Philippines 1229"
Envisage,Security Service,Esai bdlg. Jupiter St. cor Pluto St. Brgy. Bahay Toro Wc
Enrich Engineering Services,ELECTRICAL DESIGN AND CONSULTANCY,1 ANDREA ST VILLA SUSANA CANIOGAN PASIG CITY
ePerformax Contact Centers & BPO,BPO,"7/F BPI Buendia Center, Sen. Gil Puyat Avenue, Makati City, Philippines 1200"
Epivis Inc.,,"3/F RCI Building, 105 Rada Street, Makati City, Philippines 1227"
Epixtar Phils. (now Amberbase Solutions International),,"5 Eastwood City Libis, 188 E. Rodriguez Avenue, Bagumbayan, Quezon City, Philippines 1010"
"ePLDT, Inc.",Information & Communication Technology,"5/F Locsin Building, Makati Avenue cor. Ayala Avenue, Makati City, Philippines 1200"
"EPTA REFRIGERATION PHILS., INC.",Commercial Refrigeration,"570 West Service Road, Cupang, Muntinlupa City, Philippines Metro Manila 1771"
Ergo Contracts Phils.,,"2634 Rockefeller Street cor. P. Binay Street, Brgy. San Isidro, Makati City, Philippines"
"Ericsson Telecommunications, Inc.",Telecommunication,"20/F Net Square Center, RD Avenue cor. 28th Street, Cresent Park West, Bonifacio Global City, Taguig, Philippines 1634"
ESCA Incorporated (ECSA Engineers),,"ATC Centre, 148 Katipunan Avenue, St. Ignatius Village, Quezon City, Philippines"
"ESS Manufacturing Company, Inc.",Outsourcing Company,"42/F PBCom Tower, Ayala Avenue cor. Herrera Avenue, Makati City, Philippines"
ETelecare (STREAM),BPO,"15F Pbcom Tower, Ayala Ave, Makati City"
"eTelecare Global Solutions, Inc.",BPO,"2/F Worldwide Corporate Center, Shaw Blvd. Makati City"
ETR Total Business Solutions Provider,,"G/F - 37 South Star Plaza, South Super Highway, Makati City, Philippines"
EUROASIA EXECUTIVE SEARCH,HUMAN RESOURCES,"2F PARAGON PLAZA, MANDALUYONG CITY"
Euro Towers International Inc.,Construction and Materials,"3rd Flr. Vivaldi Residences 628 EDSA cor. Aurora Blvd., Cubao, Q.C"
"Ever Gotesco Resources & Holdings, Inc.",Retail Company,"12/F Ever Gotesco Corporate Center, 1958 C.M. Recto Avenue, Manila, Philippines 1200"
"Evertrust Business Solutions, Inc.",Recruitment Agency,"92-A Prosperity West Avenue Center, West Avenue, Quezon City, Philippines 1104"
Excel Marco Industrial System Pte Ltd,Oil and Gas,"39 Ubi Road 1 #07-01, World Publications building 5408695"
Exist Software Lab. Inc.,Software and Computer Services,"Unit 502, 5th Floor Orient Sqaure Bldg. F. Ortigas Rd."
"EXP Management and Consultancy, Inc.",Consultancy Services,"301 Jade Center, Shaw Boulevard, Pasig City, Philippines"
Expert Global Solutions,BPO,"6F Philplans corporate 1 10th Ave. Bonifacio Triangle, BGC, Taguig City"
"Expitrans Philippines, Inc.",Merchant Services,"14D Rufino Pacific Tower, 6784 Ayala Avenue cor. V. A. Rufino Street, Makati City, Philippines 1226"
"Exploretale Technologies, OPC",Software and Computer Services,"Blk. 4, Lot 3-A Loremar Homes Monte Oro, Brgy. San Isidro, Antipolo City"
"Factset Philippines, Inc.",Finance & Technology,"8F Commerce and Industry Ilaya, 1030 Campus Ave. Corner Park ave, Mckinly hills, Fort Bonifacio Taguig City"
"Fandom, Inc.",IT Services,"Unit 801 Richbelt Tower, 17 Annapolis Street, Greenhills, San Juan City, Philippines"
Fard IT Solutions,Software and Computer Services,"#20 Unit A. Aquamarine St. SSS Village Conception 2, Marikina City"
"FASTTRACK SOLUTIONS, INC.",Software & Computer Services,"10/F The Valero Tower, 122 Valero St. Salcedo Village, 1227 Makati City, Philippines"
Fast Services Corporation,Engineer-Management Trainee,"FMW Building Tierra Nueva Subdivision, Zapote Road Alabang, Muntinlupa City, Philippines"
"Felicisimo Martinez & Company, Inc.",Food Manufacturer,"No. 88 Garnet Street, La Colina Subdivision, Antipolo, Rizal, Philippines 1870"
FEU - Silang,Education,
"FEU Main, Professional Services, Inc.",NO OTHER DOCUMENTS,
Fil-Garte Construction & Development Corporation,Construction,Unit 305 Quadrillion Mansion N. Domingo cor. M. Paterno Sts. San Juan City
FIL-SMS Corporation,Manning Agency,"Suite 9 4/F Royal Bay Terrace Condominium, 465-475 U.N. Avenue, Ermita, Manila, Philippines"
Filcomserve.Inc.,Telecommunication,"118 Perla St. San Legaspi Village, Makati Ctiy"
